cluster_id,violation_count,avg_lat,avg_lon,total_impact,avg_impact,top_police_station,top_junction,date_span_days,unique_days,dominant_violation,recurrence_rate,hotspot_impact_score,rank,auto_explanation
7374,1976,12.981137799595142,77.61016131563765,3136.36,1.587226720647773,Shivajinagar,BTP051 - Safina Plaza Junction,150,147,NO PARKING,0.98,2390.516,1,"A chronic, near-daily problem, mostly involving passenger auto vehicles, concentrated during late night/early morning hours, near BTP051 - Safina Plaza Junction. Dominant violation type: NO PARKING. 1976 recorded violations."
5067,1315,12.964000933840303,77.57685039003802,2418.2000000000003,1.8389353612167303,City Market,BTP082 - KR Market Junction,149,120,WRONG PARKING,0.8053691275167785,1791.7505369127518,2,"A chronic, near-daily problem, mostly involving scooter vehicles, concentrated during evening peak hours, near BTP082 - KR Market Junction. Dominant violation type: WRONG PARKING. 1315 recorded violations."
3188,1119,12.939751272663091,77.69555892709562,2102.8,1.8791778373547807,HAL Old Airport,No Junction,140,42,WRONG PARKING,0.3,1545.93,3,"An occasional/intermittent issue, mostly involving car vehicles, concentrated during late night/early morning hours, on an open road stretch (no nearby named junction). Dominant violation type: WRONG PARKING. 1119 recorded violations."
7708,1266,12.984002717456557,77.60361064826225,1996.64,1.577124802527646,Shivajinagar,BTP211 - Central Street Junction,150,125,NO PARKING,0.8333333333333334,1526.984,4,"A chronic, near-daily problem, mostly involving passenger auto vehicles, concentrated during late night/early morning hours, near BTP211 - Central Street Junction. Dominant violation type: NO PARKING. 1266 recorded violations."
2727,1864,12.933780928803648,77.69087433803111,1633.65,0.8764216738197426,HAL Old Airport,No Junction,143,86,NO PARKING,0.6013986013986014,1455.210979020979,5,"A chronic, near-daily problem, mostly involving scooter vehicles, concentrated during late night/early morning hours, on an open road stretch (no nearby named junction). Dominant violation type: NO PARKING. 1864 recorded violations."
5135,1076,12.964528477286246,77.5765020232342,1562.8000000000002,1.4524163568773236,City Market,BTP082 - KR Market Junction,148,107,WRONG PARKING,0.722972972972973,1217.5245945945946,6,"A chronic, near-daily problem, mostly involving scooter vehicles, concentrated during evening peak hours, near BTP082 - KR Market Junction. Dominant violation type: WRONG PARKING. 1076 recorded violations."
7356,1267,12.981155445856354,77.59847456637726,1471.6,1.161483820047356,Shivajinagar,BTP042 - Minsk Square Junction (CTO),141,82,WRONG PARKING,0.5815602836879432,1208.4334042553191,7,"An occasional/intermittent issue, mostly involving scooter vehicles, concentrated during late night/early morning hours, near BTP042 - Minsk Square Junction (CTO). Dominant violation type: WRONG PARKING. 1267 recorded violations."
5134,880,12.964603587272729,77.57612815397727,1537.12,1.746727272727273,City Market,BTP082 - KR Market Junction,145,91,WRONG PARKING,0.6275862068965518,1151.6857931034483,8,"A chronic, near-daily problem, mostly involving scooter vehicles, concentrated during late night/early morning hours, near BTP082 - KR Market Junction. Dominant violation type: WRONG PARKING. 880 recorded violations."
2695,1486,12.933227864165543,77.69123125121803,1277.6,0.8597577388963662,HAL Old Airport,No Junction,143,65,NO PARKING,0.4545454545454545,1144.8781818181817,9,"An occasional/intermittent issue, mostly involving scooter vehicles, concentrated during late night/early morning hours, on an open road stretch (no nearby named junction). Dominant violation type: NO PARKING. 1486 recorded violations."
5136,880,12.964416884738636,77.57707579400001,1516.8,1.7236363636363636,City Market,BTP082 - KR Market Junction,150,138,WRONG PARKING,0.92,1143.88,10,"A chronic, near-daily problem, mostly involving passenger auto vehicles, concentrated during evening peak hours, near BTP082 - KR Market Junction. Dominant violation type: WRONG PARKING. 880 recorded violations."
6781,1211,12.977340415028902,77.57652969917424,1365.84,1.1278612716763008,Upparpet,BTP040 - Elite Junction,149,91,NO PARKING,0.610738255033557,1131.4150738255032,11,"A chronic, near-daily problem, mostly involving scooter vehicles, concentrated during late night/early morning hours, near BTP040 - Elite Junction. Dominant violation type: NO PARKING. 1211 recorded violations."
12139,1442,13.07128029909154,77.58800666303051,1239.35,0.8594660194174758,Kodigehalli,No Junction,149,97,WRONG PARKING,0.6510067114093959,1113.8751006711411,12,"A chronic, near-daily problem, mostly involving scooter vehicles, concentrated during morning hours, on an open road stretch (no nearby named junction). Dominant violation type: WRONG PARKING. 1442 recorded violations."
6657,850,12.97639103717647,77.57741960647058,1406.4,1.6545882352941177,Upparpet,BTP040 - Elite Junction,149,114,NO PARKING,0.7651006711409396,1067.8165100671142,13,"A chronic, near-daily problem, mostly involving car vehicles, concentrated during late night/early morning hours, near BTP040 - Elite Junction. Dominant violation type: NO PARKING. 850 recorded violations."
7375,884,12.981047442873304,77.61037098303167,1378.08,1.5589140271493211,Shivajinagar,BTP051 - Safina Plaza Junction,149,106,WRONG PARKING,0.7114093959731543,1058.5191409395973,14,"A chronic, near-daily problem, mostly involving passenger auto vehicles, concentrated during late night/early morning hours, near BTP051 - Safina Plaza Junction. Dominant violation type: WRONG PARKING. 884 recorded violations."
6234,933,12.973546032368702,77.57931360278671,1290.44,1.3831082529474814,Upparpet,BTP044 - Sagar Theatre Junction,146,112,NO PARKING,0.7671232876712328,1019.0208493150684,15,"A chronic, near-daily problem, mostly involving scooter vehicles, concentrated during late night/early morning hours, near BTP044 - Sagar Theatre Junction. Dominant violation type: NO PARKING. 933 recorded violations."
6779,792,12.97739555669192,77.57558317020202,1288.0,1.6262626262626263,Upparpet,BTP040 - Elite Junction,150,130,NO PARKING,0.8666666666666667,983.8,16,"A chronic, near-daily problem, mostly involving passenger auto vehicles, concentrated during late night/early morning hours, near BTP040 - Elite Junction. Dominant violation type: NO PARKING. 792 recorded violations."
9977,952,13.008188150840336,77.69534597626051,1199.775,1.2602678571428572,K.R. Pura,No Junction,148,134,WRONG PARKING,0.9054054054054054,971.446081081081,17,"A chronic, near-daily problem, mostly involving scooter vehicles, concentrated during evening peak hours, on an open road stretch (no nearby named junction). Dominant violation type: WRONG PARKING. 952 recorded violations."
6716,938,12.97707263411514,77.5765237390192,1196.0800000000002,1.2751385927505332,Upparpet,BTP040 - Elite Junction,150,119,NO PARKING,0.7933333333333333,964.048,18,"A chronic, near-daily problem, mostly involving scooter vehicles, concentrated during late night/early morning hours, near BTP040 - Elite Junction. Dominant violation type: NO PARKING. 938 recorded violations."
7113,874,12.979630225743708,77.60716417711672,1217.5600000000002,1.3930892448512588,Shivajinagar,BTP051 - Safina Plaza Junction,149,107,NO PARKING,0.7181208053691275,959.807812080537,19,"A chronic, near-daily problem, mostly involving scooter vehicles, concentrated during late night/early morning hours, near BTP051 - Safina Plaza Junction. Dominant violation type: NO PARKING. 874 recorded violations."
9998,594,13.008657177104377,77.55443797777777,1285.9,2.164814814814815,Malleshwaram,"BTP001 - 10th Cross, Dr. Rajkumar Road",150,92,WRONG PARKING,0.6133333333333333,929.24,20,"A chronic, near-daily problem, mostly involving car vehicles, concentrated during late night/early morning hours, near BTP001 - 10th Cross, Dr. Rajkumar Road. Dominant violation type: WRONG PARKING. 594 recorded violations."
5734,962,12.969882862536382,77.57567922967776,1120.76,1.165031185031185,City Market,BTP043 - Upparpet Junction,149,130,NO PARKING,0.87248322147651,926.0432483221476,21,"A chronic, near-daily problem, mostly involving scooter vehicles, concentrated during late night/early morning hours, near BTP043 - Upparpet Junction. Dominant violation type: NO PARKING. 962 recorded violations."
6218,1046,12.973564981739962,77.55120239971319,1018.9600000000002,0.97414913957935,Magadi Road,"BTP070 - Cholurpalya Junction, Magadi Road",149,79,NO PARKING,0.5302013422818792,880.8290201342282,22,"An occasional/intermittent issue, mostly involving scooter vehicles, concentrated during morning hours, near BTP070 - Cholurpalya Junction, Magadi Road. Dominant violation type: NO PARKING. 1046 recorded violations."
6146,834,12.973133263669066,77.57911790659473,1087.64,1.3041247002398082,Upparpet,BTP044 - Sagar Theatre Junction,148,101,NO PARKING,0.6824324324324325,871.3204864864865,23,"A chronic, near-daily problem, mostly involving scooter vehicles, concentrated during late night/early morning hours, near BTP044 - Sagar Theatre Junction. Dominant violation type: NO PARKING. 834 recorded violations."
6722,572,12.976819498251748,77.57990636363637,1163.24,2.033636363636364,Upparpet,BTP044 - Sagar Theatre Junction,149,121,WRONG PARKING,0.8120805369127517,853.1252080536913,24,"A chronic, near-daily problem, mostly involving car vehicles, concentrated during late night/early morning hours, near BTP044 - Sagar Theatre Junction. Dominant violation type: WRONG PARKING. 572 recorded violations."
9946,544,13.00829521029412,77.55446340588234,1156.7600000000002,2.12639705882353,Malleshwaram,"BTP001 - 10th Cross, Dr. Rajkumar Road",150,94,NO PARKING,0.6266666666666667,839.4560000000001,25,"A chronic, near-daily problem, mostly involving car vehicles, concentrated during evening peak hours, near BTP001 - 10th Cross, Dr. Rajkumar Road. Dominant violation type: NO PARKING. 544 recorded violations."
