decay_rank,cluster_id,violation_count,total_decayed_impact,avg_decayed_impact,last_active_date,first_violation_date,total_raw_impact,days_since_last_violation,trend_slope,trend_direction,decay_score_norm,hotspot_impact_score,orig_score_norm,hotspot_score_decay_blended,freshness
1,7374,1976,2054.1417461009237,1.039545418067269,2024-04-08,2023-11-10,3136.3599999999997,0,47.9286,increasing,0.1317470228823058,2390.516,1.0,0.392223,active_this_week
2,5067,1315,1706.3525856298168,1.2976065289960583,2024-04-07,2023-11-10,2418.2000000000003,0,48.0,increasing,0.10944077913365576,1791.7505369127518,0.7495245950718388,0.301466,active_this_week
3,3188,1119,1269.999921566726,1.134941842329514,2024-04-07,2023-11-18,2102.8,1,15.5,increasing,0.08145431494431903,1545.93,0.6466930152318578,0.251026,active_this_week
4,7708,1266,1215.0205888031023,0.9597319026880745,2024-04-08,2023-11-10,1996.6399999999999,0,10.9286,increasing,0.07792809119398045,1526.984,0.638767529688151,0.24618,active_this_week
5,2727,1864,1030.9237638752948,0.5530706887742998,2024-04-05,2023-11-14,1633.65,2,35.4643,increasing,0.06612062530105367,1455.210979020979,0.6087434591615278,0.228907,active_this_week
6,5135,1076,1031.2220117819948,0.9583847693141215,2024-04-07,2023-11-11,1562.8000000000002,0,22.3214,increasing,0.06613975410453726,1217.5245945945946,0.5093145557672881,0.199092,active_this_week
7,5134,880,1053.2232758516686,1.1968446316496235,2024-04-08,2023-11-14,1537.1200000000001,0,24.3214,increasing,0.06755085489460151,1151.6857931034483,0.48177288631552695,0.191817,active_this_week
8,7356,1267,889.7706896666452,0.7022657377005882,2024-04-04,2023-11-14,1471.6000000000001,4,7.8571,increasing,0.057067453905762296,1208.4334042553191,0.5055115315083937,0.191601,active_this_week
9,5136,880,943.0565608443843,1.0716551827777094,2024-04-08,2023-11-09,1516.8,0,10.5357,increasing,0.060485063670367246,1143.88,0.47850756907713654,0.185892,active_this_week
10,6781,1211,903.2076755832394,0.745836230869727,2024-04-08,2023-11-10,1365.8400000000001,0,27.4286,increasing,0.057929265362728695,1131.4150738255032,0.4732932445654006,0.182538,active_this_week
11,2695,1486,770.6811859694891,0.5186279851746225,2024-04-06,2023-11-15,1277.6000000000001,2,14.7857,increasing,0.04942937946498278,1144.8781818181817,0.478925128222602,0.178278,active_this_week
12,12139,1442,840.1419405466871,0.5826227049560937,2024-04-08,2023-11-10,1239.3500000000001,0,43.9643,increasing,0.05388440192878052,1113.8751006711411,0.4659559277876162,0.177506,active_this_week
13,7375,884,918.9747299034159,1.0395641740988868,2024-04-08,2023-11-11,1378.08,0,22.7143,increasing,0.0589405210223003,1058.5191409395973,0.44279943783668346,0.174098,active_this_week
14,6657,850,834.4791143338545,0.981740134510417,2024-04-08,2023-11-10,1406.4,0,4.1786,increasing,0.05352120377263734,1067.8165100671142,0.44668871074994443,0.171471,active_this_week
15,6234,933,789.6456838749515,0.8463512153000552,2024-04-07,2023-11-12,1290.44,1,5.3571,increasing,0.05064571039455225,1019.0208493150684,0.4262765232757565,0.163335,active_this_week
16,9977,952,844.1456615331773,0.8867076276609005,2024-04-08,2023-11-11,1199.775,0,29.6071,increasing,0.05414118962194859,971.446081081081,0.40637505922615913,0.159811,active_this_week
17,6779,792,759.8552696835545,0.9594132192974173,2024-04-08,2023-11-10,1288.0,0,3.0357,increasing,0.048735034859333115,983.8,0.4115429472130703,0.157577,active_this_week
18,6716,938,772.9191885388204,0.8240076636874418,2024-04-08,2023-11-10,1196.0800000000002,0,16.5357,increasing,0.049572918817255826,964.048,0.4032802959695731,0.155685,active_this_week
19,7113,874,751.9468418881503,0.8603510776752291,2024-04-08,2023-11-10,1217.5600000000002,0,8.5,increasing,0.04822780997103031,959.807812080537,0.4015065417175777,0.154211,active_this_week
20,9998,594,820.8420880365588,1.381889037098584,2024-04-08,2023-11-10,1285.9,0,8.5,increasing,0.05264656227379886,929.24,0.3887194229195705,0.153468,active_this_week
21,5734,962,688.3334796426547,0.7155233676119072,2024-04-07,2023-11-10,1120.76,1,11.2857,increasing,0.044147823228496155,926.0432483221476,0.3873821586310853,0.147118,active_this_week
22,6146,834,740.4859717030869,0.8878728677495047,2024-04-07,2023-11-11,1087.64,1,20.7143,increasing,0.04749274116217679,871.3204864864865,0.3644905478509604,0.142592,active_this_week
23,9946,544,808.8126166167392,1.4867878981925353,2024-04-08,2023-11-10,1156.7600000000002,0,17.75,increasing,0.05187502493981628,839.4560000000001,0.35116100456972477,0.141661,active_this_week
24,6218,1046,614.4658559666711,0.5874434569471043,2024-04-08,2023-11-10,1018.9600000000002,0,6.8571,increasing,0.03941015625630503,880.8290201342282,0.3684681550486289,0.138128,active_this_week
25,6722,572,658.0267775782222,1.1503964642975912,2024-04-08,2023-11-10,1163.24,0,-3.8929,decreasing,0.04220403440382084,853.1252080536913,0.35687910394813976,0.136607,active_this_week
26,6582,896,632.8107633154115,0.7062620126288074,2024-04-06,2023-11-11,1007.4000000000002,2,11.3929,increasing,0.040586748345354334,837.6236734693878,0.3503945062360544,0.133529,active_this_week
27,6782,494,695.2260437771808,1.407340169589435,2024-04-07,2023-11-10,1072.24,1,7.6786,increasing,0.0445898934052368,777.7899459459459,0.32536487768579914,0.128822,active_this_week
28,6998,451,632.6419507823052,1.4027537711359317,2024-04-08,2023-11-10,1046.24,0,2.0357,increasing,0.04057592117205717,749.294,0.3134444613631534,0.122436,active_this_week
29,6717,509,617.0931219316964,1.2123636973117806,2024-04-08,2023-11-10,998.8800000000001,0,1.75,increasing,0.03957866189612716,738.2780000000001,0.3088362512528676,0.120356,active_this_week
30,6287,739,589.4564770557114,0.7976406996694335,2024-04-04,2023-11-11,910.4000000000001,4,14.0,increasing,0.03780612322308874,737.3003448275862,0.3084272788082515,0.118992,active_this_week
31,9430,548,648.2952694501847,1.1830205646901182,2024-04-05,2023-11-15,926.3,2,15.3214,increasing,0.0415798821385463,701.5476056338027,0.2934712027168204,0.117147,active_this_week
32,5203,661,554.179318404909,0.8383953379801953,2024-04-08,2023-11-10,911.44,0,10.3214,increasing,0.03554354293289603,720.7717181208054,0.30151302820010634,0.115334,active_this_week
33,6770,570,575.0419529150937,1.008845531429989,2024-04-07,2023-11-11,938.0799999999999,0,5.4643,increasing,0.03688161514306153,713.152054054054,0.29832557240949403,0.115315,active_this_week
34,7450,516,598.8115378251941,1.160487476405415,2024-04-08,2023-11-10,923.44,0,9.7857,increasing,0.03840613118631809,694.164,0.290382494825385,0.113999,active_this_week
35,7372,497,580.8617028072406,1.1687358205377074,2024-04-08,2023-11-11,930.0400000000001,0,4.4643,increasing,0.03725487795399721,692.9451409395973,0.2898726220362454,0.11304,active_this_week
36,5066,457,626.8293203356459,1.3716177687869713,2024-04-08,2023-11-11,914.52,0,13.5714,increasing,0.04020311498284651,671.8210604026846,0.2810360024374171,0.112453,active_this_week
37,7000,442,571.8228455814373,1.2937168452068717,2024-04-07,2023-11-10,933.6000000000001,0,4.8214,increasing,0.03667515041960568,680.1230872483222,0.28450890403926277,0.111025,active_this_week
38,6484,594,528.2040217983949,0.8892323599299577,2024-04-08,2023-11-09,892.8800000000001,0,1.5357,increasing,0.03387755858547264,694.028,0.2903256033425419,0.110812,active_this_week
39,7447,535,534.3162059696808,0.9987218803171605,2024-04-08,2023-11-10,880.6800000000001,0,3.7143,increasing,0.03426957732975052,673.3580000000001,0.28167893458985427,0.108492,active_this_week
40,7166,486,548.1968611803859,1.127977080618078,2024-04-07,2023-11-10,878.8000000000001,0,5.5714,increasing,0.03515984451950867,658.611081081081,0.2755100074967417,0.107265,active_this_week
41,6841,522,505.75334835567077,0.9688761462752313,2024-04-08,2023-11-10,853.4800000000001,0,1.6429,increasing,0.0324376339096823,653.7880000000001,0.2734924175366323,0.104754,active_this_week
42,9947,407,569.8408586168213,1.4001003897219195,2024-04-08,2023-11-10,805.2800000000001,0,15.4286,increasing,0.03654803120669092,593.173033557047,0.24813598133501177,0.100024,active_this_week
43,7519,592,421.3336098410655,0.7117121787855836,2024-04-01,2023-11-11,780.4000000000001,7,-7.5,decreasing,0.027023183206407647,621.2047887323944,0.2598622175013237,0.096875,active_this_week
44,9218,543,471.0558889267654,0.8675062411174317,2024-04-07,2023-11-12,768.4800000000001,0,-0.1429,stable,0.03021223393910341,602.8584081632654,0.25218756459411495,0.096805,active_this_week
45,6913,401,470.11527024087667,1.1723572823962012,2024-04-07,2023-11-12,820.0000000000001,0,-0.75,decreasing,0.03015190523405249,601.7397959183673,0.25171962702544864,0.096622,active_this_week
46,11184,885,376.2572824506575,0.4251494716956582,2024-04-07,2023-11-10,661.825,1,-1.9286,decreasing,0.024132111084716485,629.6201677852349,0.2633825365675172,0.095907,active_this_week
47,9978,545,489.22971841607847,0.8976692081028963,2024-04-07,2023-11-10,703.5749999999999,0,15.1071,increasing,0.03137785356303272,569.1668120805369,0.23809370532576937,0.093393,active_this_week
48,12600,439,464.53306225427235,1.0581618730165656,2024-04-07,2023-11-16,756.0,0,6.2143,increasing,0.02979387771003136,573.4908450704224,0.23990253362471634,0.092826,active_this_week
49,12581,401,480.73847486819824,1.1988490645092225,2024-04-08,2023-11-13,746.925,0,8.8929,increasing,0.030833248469384598,557.8947959183673,0.2333783986044717,0.091597,active_this_week
50,6839,391,456.8193541428555,1.1683359440993746,2024-04-07,2023-11-14,759.6800000000001,0,1.3929,increasing,0.02929914160869304,562.933,0.23548597875939753,0.091155,active_this_week
51,12124,725,437.8856813359689,0.6039802501185778,2024-04-08,2023-11-10,629.7,0,24.3571,increasing,0.028084787716479983,568.3317449664429,0.23774438027875275,0.090983,active_this_week
52,5177,493,385.3307471162105,0.7816039495257819,2024-04-08,2023-11-09,756.4800000000001,0,-8.0357,decreasing,0.02471405824546304,584.1380000000001,0.24435644856591637,0.090607,active_this_week
53,7373,541,449.49290646096676,0.8308556496505856,2024-04-08,2023-11-12,684.32,0,14.5714,increasing,0.028829243330142407,556.4542448979593,0.23277578769519186,0.090013,active_this_week
54,6718,379,438.86089367498374,1.1579443104880838,2024-04-07,2023-11-10,736.6800000000001,1,1.5,increasing,0.02814733516364967,546.9257852348994,0.2287898450522395,0.08834,active_this_week
55,7592,711,406.7109700894964,0.5720266808572383,2024-04-08,2023-11-10,606.575,0,14.8214,increasing,0.026085327161367692,551.9949999999999,0.23091039758780108,0.087533,active_this_week
56,6580,445,458.5570471297865,1.0304652744489584,2024-04-08,2023-11-10,683.6800000000001,0,9.9643,increasing,0.029410592475287895,530.3580000000001,0.22185921365931038,0.087145,active_this_week
57,5002,332,470.8069144813068,1.4180931159075507,2024-04-07,2023-11-19,721.92,1,8.5,increasing,0.030196265400405823,524.7234285714286,0.21950216127874844,0.086988,active_this_week
58,12599,427,462.20245714721517,1.0824413516328224,2024-04-05,2023-11-16,683.9,3,11.5357,increasing,0.02964439908473595,527.482857142857,0.22065648468483667,0.086948,active_this_week
59,12140,744,392.19123303554676,0.527138754080036,2024-04-08,2023-11-10,596.0500000000001,0,18.9286,increasing,0.025154071013381404,551.4300000000001,0.23067404694216648,0.08681,active_this_week
60,8956,402,436.1530891548379,1.0849579332209898,2024-04-07,2023-11-11,709.275,1,4.1429,increasing,0.027973664001592027,534.3758108108109,0.22353994317997072,0.086644,active_this_week
61,6845,304,464.84557225582853,1.5290972771573308,2024-04-07,2023-11-14,712.8000000000001,1,4.3571,increasing,0.02981392124519836,513.0937931034483,0.21463725534715028,0.085261,active_this_week
62,7526,518,429.14678809490374,0.8284687028859146,2024-04-07,2023-11-10,635.34,1,13.1786,increasing,0.027524299050115053,520.0283243243243,0.2175381065528632,0.084528,active_this_week
63,6232,345,438.27520452971095,1.2703629116803217,2024-04-06,2023-11-11,700.32,2,5.25,increasing,0.02810977066676398,515.8940547945206,0.21580866005269178,0.084419,active_this_week
64,9899,553,392.35682024848404,0.7095060040659747,2024-04-07,2023-11-10,637.75,0,5.75,increasing,0.025164691323480877,530.1617449664429,0.2217771163072922,0.084148,active_this_week
65,5137,455,414.9807815059296,0.9120456736394057,2024-04-07,2023-11-10,651.64,0,10.2857,increasing,0.026615730204868102,514.5997718120805,0.21526723594909236,0.083211,active_this_week
66,6720,386,412.74292230039345,1.0692821821253715,2024-04-08,2023-11-10,682.0000000000001,0,3.4643,increasing,0.026472200047556033,514.5590604026846,0.21525020556343677,0.083106,active_this_week
67,9279,472,354.81427717068283,0.7517251634972094,2024-04-07,2023-11-11,679.2,0,-7.4643,decreasing,0.02275681548369547,534.3375675675676,0.22352394527690572,0.082987,active_this_week
68,6787,334,415.71953309904114,1.2446692607755723,2024-04-06,2023-11-10,697.6800000000001,2,2.6786,increasing,0.026663111707739922,511.9390810810811,0.21415421652943595,0.08291,active_this_week
69,9037,375,458.655341990369,1.2230809119743173,2024-04-08,2023-11-15,652.2800000000001,0,11.3929,increasing,0.02941689683830031,493.9111034482759,0.20661275785155836,0.082576,active_this_week
70,12582,351,424.05094029777183,1.208122337030689,2024-04-07,2023-11-11,665.25,0,6.7857,increasing,0.027197465335933528,496.8324324324324,0.2078348073940657,0.081389,active_this_week
71,6233,338,454.01944417310585,1.3432527934115557,2024-04-08,2023-11-12,648.7600000000001,0,10.4643,increasing,0.02911956305548307,481.3573513513514,0.2013612757042209,0.080792,active_this_week
72,6992,314,410.027834292729,1.305821128320793,2024-04-08,2023-11-11,681.2,0,0.8571,increasing,0.02629806174256699,496.442972972973,0.20767188881939003,0.08071,active_this_week
73,3780,338,483.8379620339824,1.4314732604555693,2024-04-05,2023-11-27,624.75,2,15.9286,increasing,0.031032041083053588,465.6961538461538,0.1948098878426891,0.080165,active_this_week
74,7768,411,367.9317996392066,0.895211191336269,2024-04-06,2023-11-10,650.76,1,-3.1786,decreasing,0.023598137430489132,501.1114054054054,0.2096247861990488,0.079406,active_this_week
75,7446,411,385.70775681742253,0.9384616954195195,2024-04-08,2023-11-12,631.48,0,3.6071,increasing,0.02473823861462535,491.84208163265305,0.20574724521093063,0.079041,active_this_week
76,6922,290,426.00122855004673,1.4689697536208508,2024-04-07,2023-11-12,647.8800000000001,0,6.0357,increasing,0.02732255148029882,468.5749387755103,0.19601414036781611,0.07793,active_this_week
77,9975,373,412.038196915916,1.1046600453509812,2024-04-07,2023-11-10,612.15,0,8.0714,increasing,0.026427000892468158,470.8084563758389,0.19694846484015957,0.077583,active_this_week
78,5001,314,436.3838576211276,1.3897575083475402,2024-04-07,2023-11-17,628.72,0,11.0,increasing,0.02798846485867333,461.9643943661972,0.19324881923659878,0.077567,active_this_week
79,10207,494,382.0688345128213,0.773418693345792,2024-04-07,2023-11-10,571.5,1,14.3571,increasing,0.024504848109300564,477.2724832214765,0.19965249478417063,0.077049,active_this_week
80,9278,446,339.3362960082369,0.7608437130229527,2024-04-07,2023-11-10,621.2800000000001,0,-4.75,decreasing,0.021764100184349,492.52303355704703,0.2060321008338982,0.077045,active_this_week
81,9159,374,416.7360829509744,1.1142676014731936,2024-04-08,2023-11-09,604.7600000000001,0,10.3571,increasing,0.026728310429716077,463.056,0.19370545940709033,0.076821,active_this_week
82,5973,716,304.5262685087557,0.4253160174703292,2024-04-08,2023-11-15,522.0,0,1.5,increasing,0.019531480406179844,501.0965517241379,0.2096185726111592,0.076558,active_this_week
83,6659,457,369.0603253902674,0.807571827987456,2024-04-07,2023-11-10,594.32,0,6.8214,increasing,0.023670517979801513,477.2849530201343,0.19965771114693828,0.076467,active_this_week
84,6286,489,337.8223905920975,0.6908433345441667,2024-04-04,2023-11-12,599.1600000000001,4,-0.5,stable,0.02166700243932709,488.20433333333335,0.20422550333623926,0.076435,active_this_week
85,5548,385,367.4082452287493,0.954307130464284,2024-04-07,2023-11-11,612.8000000000001,1,1.2857,increasing,0.02356455808523432,472.9502702702703,0.19784442784330677,0.075849,active_this_week
86,10173,538,366.0834470539527,0.6804525038177559,2024-04-08,2023-11-10,546.65,0,13.2857,increasing,0.023479589160484763,472.19,0.19752639179156298,0.075694,active_this_week
87,9288,511,350.07164255174973,0.6850717075376707,2024-04-07,2023-11-10,558.55,1,7.8214,increasing,0.02245263589489688,474.7591946308724,0.19860113658761222,0.075297,active_this_week
88,7370,482,325.1651742044207,0.674616543992574,2024-04-07,2023-11-10,587.3600000000001,1,-9.3571,decreasing,0.020855203263238673,480.6676778523491,0.201072771674546,0.07492,active_this_week
89,6715,399,363.22048639357,0.9103270335678446,2024-04-07,2023-11-10,596.08,1,3.1071,increasing,0.023295966708747666,466.7223243243244,0.19523915519675433,0.074879,active_this_week
90,6786,305,378.09161073953356,1.2396446253755198,2024-04-06,2023-11-10,616.1200000000001,1,1.1071,increasing,0.024249759874780237,452.813891891892,0.1894209835415835,0.073801,active_this_week
91,7295,442,356.1041066821335,0.8056653997333336,2024-04-08,2023-11-10,569.08,0,2.75,increasing,0.02283954161419835,459.948,0.19240532169623628,0.073709,active_this_week
92,8467,486,286.52855564511725,0.5895649293109408,2024-03-27,2023-11-14,593.2800000000001,11,-12.6071,decreasing,0.018377156420030523,483.1769552238806,0.20212245189903794,0.073501,active_this_month
93,5148,436,348.55040443028514,0.7994275330969842,2024-04-07,2023-11-13,573.6,1,4.25,increasing,0.02235506785024833,460.8654794520549,0.1927891214499526,0.073485,active_this_week
94,5178,408,305.6188825180695,0.7490658885246801,2024-04-08,2023-11-09,600.5200000000001,0,-6.0,decreasing,0.01960155767478111,469.1120000000001,0.19623880367251256,0.072593,active_this_week
95,6999,266,372.1796962787216,1.3991717905215098,2024-04-07,2023-11-10,605.2800000000001,0,2.2857,increasing,0.023870585880957633,437.2183355704699,0.18289705468211462,0.071579,active_this_week
96,7080,296,359.43834980952306,1.2143187493564969,2024-04-08,2023-11-10,595.6,0,1.3571,increasing,0.02305339083197175,439.4136912751678,0.18381541528070416,0.071282,active_this_week
