stop_order,officer_id,cluster_id,lat,lon,score,eta,depart,dwell_minutes,travel_km_from_prev,travel_min_from_prev
1,1,7374,12.981137799595142,77.61016131563765,2390.516,07:00,07:20,20,0.0,0
2,1,7375,12.981047442873304,77.61037098303167,1058.5191,07:20,07:40,20,0.025,0
3,1,7708,12.984002717456557,77.60361064826225,1526.984,07:41,08:01,20,0.803,1
4,1,7356,12.981155445856354,77.59847456637726,1208.4334,08:02,08:22,20,0.64,1
5,1,6234,12.973546032368702,77.57931360278671,1019.0208,08:27,08:47,20,2.242,5
6,1,6657,12.97639103717647,77.57741960647058,1067.8165,08:47,09:07,20,0.377,0
7,1,6781,12.977340415028902,77.57652969917424,1131.4151,09:07,09:27,20,0.143,0
8,1,5134,12.964603587272729,77.57612815397727,1151.6858,09:30,09:50,20,1.417,3
9,1,5135,12.964528477286246,77.5765020232342,1217.5246,09:50,10:10,20,0.041,0
10,1,5136,12.964416884738636,77.57707579400001,1143.88,10:10,10:30,20,0.063,0
11,1,5067,12.964000933840303,77.57685039003802,1791.7505,10:30,10:50,20,0.052,0
1,2,3188,12.939751272663091,77.69555892709562,1545.93,07:00,07:20,20,0.0,0
2,2,2727,12.933780928803648,77.69087433803111,1455.211,07:22,07:42,20,0.836,2
3,2,2695,12.933227864165543,77.69123125121803,1144.8782,07:42,08:02,20,0.073,0
1,3,12139,13.07128029909154,77.58800666303051,1113.8751,07:00,07:20,20,0.0,0
